NAME;LONGNAME;HD_ICD_10;CAT
AB1_ACTINOMYCOSIS;Actinomycosis;A42;A
AB1_AMOEBIASIS;Amoebiasis;A06;A
AB1_ANOGENITAL_HERPES_SIMPLEX;Anogenital herpesviral [herpes simplex] infection;A60;A
AB1_ASPERGILLOSIS;Aspergillosis;B44;B
AB1_ATYPICAL_CNS_VIRUS;Atypical virus infections of central nervous system;A81;A
AB1_BACT_BIR_OTHER_INF_AGENTS;Bacterial, viral and other infectious agents;B9[5-7];B
AB1_BACT_INTEST_OTH;Other bacterial intestinal infections;A0[4-5];A
AB1_BACTINF_NOS;Bacterial infection, other or unspecified;A4[8-9];A
AB1_CANDIDIASIS;Candidiasis;B37;B
AB1_CHLAMYDIA_OTHER;Other sexually transmitted chlamydial diseases;A56;A
AB1_CHOLERA;Cholera;A00;A
AB1_DENGUE_FEVER;Dengue fever [classical dengue];A90;A
AB1_DERMATOPHYTOSIS;Dermatophytosis;B35;B
AB1_DIBTHERIA;Diphtheria;A36;A
AB1_EARLY_SYPHILIS;Early syphilis;A51;A
AB1_EBV;Infectious mononucleosis;B27;B
AB1_ENTEROBIASIS;Enterobiasis;B80;B
AB1_ERYSIPELAS;Erysipelas;A46;A
AB1_GASTROENTERITIS_NOS;Diarrhoea and gastroenteritis of presumed infectious origin;A09;A
AB1_GONOCOCCAL;Gonococcal infection;A54;A
AB1_HELMINTIASES;Helminthiases;B6[5-9]|B7[0-9]|B8[0-3];B
AB1_HEPATITIS_A;Acute hepatitis A;B15;B
AB1_HEPATITIS_B;Acute hepatitis B;B16;B
AB1_HERPES_SIMPLEX;Herpesviral [herpes simplex] infections;B00;B
AB1_HIV_INFECT_PARASITES;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases;B20;B
AB1_HIV_NOS;Unspecified human immunodeficiency virus [HIV] disease;B24;B
AB1_INTESTINAL_INFECTIONS;Intestinal infectious diseases;A0[0-9];A
AB1_LATE_SYPHILIS;Late syphilis;A52;A
AB1_LISTERIOSIS;Listeriosis;A32;A
AB1_LYME;Lyme disease;A692;A
AB1_MALARIA;Malaria;;
AB1_MALARIA_FALCIPARIUM;Plasmodium falciparum malaria;B50;B
AB1_MALARIA_NOS;Other parasitologically confirmed or unspecified malaria;B5[3-4];B
AB1_MEASLES;Measles;B05;B
AB1_MENINGOCOCCAL;Meningococcal infection;A39;A
AB1_MUMPS;Mumps;B26;B
AB1_MYCOSES;Mycoses;B3[5-9]|B4[0-9];B
AB1_MYSOSIS_NOS;Other mycoses, not elsewhere classified/unspecified;B4[8-9];B
AB1_OTHER_BACT_INOTHER;Other bacterial agents as the cause of diseases classified to other chapters;B96;B
AB1_OTHER_BACTERIAL;Other bacterial diseases;A[3-4][0-9];A
AB1_OTHER_CESTODE;Other cestode infections;B71;B
AB1_OTHER_CHLAMYDIAE;Other diseases caused by chlamydiae;A7[0-4];A
AB1_OTHER_CONDITIONS;Human immunodeficiency virus [HIV] disease resulting in other conditions;B23;B
AB1_OTHER_INFECTIONS;Other infectious diseases;B99;B
AB1_OTHER_INFESTATIONS;Other infestations;B88;B
AB1_OTHER_MOSQUITO_FEVER;Other mosquito-borne viral fevers;A9[2-3];A
AB1_OTHER_MYCOBAC;Infection due to other mycobacteria;A31;A
AB1_OTHER_PROTOZOAL;Other protozoal intestinal diseases;A07;A
AB1_OTHER_SEPSIS;Other septicaemia;A41;A
AB1_OTHER_SPIROCHAETAL;Other spirochaetal diseases;A6[5-9];A
AB1_OTHER_SUPERF_MYCOSIS;Other superficial mycoses;B36;B
AB1_OTHER_VIRAL;Other viral diseases;B2[5-9]|B3[0-4];B
AB1_PARASITIC_NOS;Unspecified parasitic disease;B89;B
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST;Pediculosis, acariasis and other infestations;B8[5-9];B
AB1_PEDICULOSIS_AND_PHTHIRIAASIS;Pediculosis and phthiriasis;B85;B
AB1_PNEUMOCYSTOSIS;Pneumocystosis;B59;B
AB1_POLIOMYELITIS;Acute poliomyelitis;A80;A
AB1_PROTOZOAL;Protozoal diseases;B5[0-9]|B6[0-4];B
AB1_RELAP_FEVER;Relapsing fevers;A68;A
AB1_RESP_TUBERCU_CONF;Respiratory tuberculosis, confirmed;A15;A
AB1_RESP_TUBERCU_NONCONF;Respiratory tuberculosis, not confirmed;A16;A
AB1_RICKETTSIOSES;Rickettsioses;A7[5-9];A
AB1_RUBELLA;Rubella [German measles];B06;B
AB1_SALMONELLA_OTH;Other salmonella infections;A02;A
AB1_SCABIES;Scabies;B86;B
AB1_SCARLET_FEVER;Scarlet fever;A38;A
AB1_SEQULAE_INF_NOS;Sequelae of other and unspecified infectious and parasitic diseases;B94;B
AB1_SEQULAE_POLIO;Sequelae of poliomyelitis;B91;B
AB1_SEQULAE_TUBERCU;Sequelae of tuberculosis;B90;B
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES;Sequelae of infectious and parasitic diseases;B9[0-4];B
AB1_SEXUAL_TRANSMISSION;Infections with a predominantly sexual mode of transmission;A5[0-9]|A6[0-4];A
AB1_SEXUAL_TRANSMISSION_NOS;Other predominantly sexually transmitted diseases, not elsewhere classified;A6[3-4];A
